test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD
flep2,0,-0.055172413793074915,0.995,0.1,0.995,0.9,2000,16,4,7,7,60
flep2,0,-0.055172413793074915,0.995,0.1,0.995,0.9,2000,16,4,7,7,60
alex1,0,-0.055172413793074915,0.995,0.1,0.995,0.9,2000,16,4,7,7,60
alex1,10,27.724137931034726,0.8265651079747222,0.1,0.995,0.9,2000,16,4,7,7,60
alex1,0,9.889655172413812,0.995,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,10,4.1931034482758776,0.7111635524897149,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,20,4.193103448275863,0.4907693883854626,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,30,38.075862068965755,0.3420891339682016,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,40,17.986206896551636,0.2494556624678441,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,50,59.51379310344865,0.17651675623376062,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,60,24.88275862068955,0.12807462877562611,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,70,90.1000000000003,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,80,38.67586206896578,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,90,48.42068965517271,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,100,65.06206896551744,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,110,38.375862068965525,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,120,49.02068965517269,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,130,28.331034482758533,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,140,14.53793103448265,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,150,42.87241379310356,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,160,21.434482758620582,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,170,66.26206896551754,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,180,75.40689655172446,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,190,-29.241379310344584,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,200,76.60689655172443,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,210,76.60689655172445,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,220,-47.431034482758335,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
alex1,230,-46.73103448275839,0.0996820918179746,0.1,0.995,1.05,2000,32,3,5,15,60
