test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD
alex2,0,13.337931034482725,0.9995,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,0,13.337931034482725,0.9995,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,10,2.9931034482758965,0.9890575579563669,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,20,33.72413793103439,0.976279850107934,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,30,2.9931034482758747,0.9641492930601405,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,40,1.7931034482758754,0.9521694616616301,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,50,23.28275862068959,0.9412795273104247,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,60,13.33793103448275,0.929119067378715,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,70,19.834482758620577,0.9171157093295601,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,80,2.593103448275862,0.9039102012541841,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,90,6.441379310344816,0.8935722066561794,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,100,6.441379310344853,0.8833524474007565,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,110,2.993103448275857,0.8723765399749112,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,120,6.441379310344825,0.8598152291978567,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,130,20.23448275862061,0.850406750884126,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,140,2.4413793103448462,0.8411012242990624,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,150,13.337931034482693,0.8327300447615915,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,160,5.241379310344859,0.8227945324687735,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,170,13.337931034482747,0.8125710744985801,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,180,2.9931034482758814,0.8028760839668281,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,190,20.23448275862058,0.7925036683708957,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,200,6.441379310344862,0.7834398270389253,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,210,13.33793103448275,0.7748670821368779,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,220,6.441379310344855,0.764856516910148,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,230,6.441379310344855,0.7561088752427627,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,240,2.993103448275896,0.7459674783559345,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,250,8.689655172413826,0.7366986185602569,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,260,-0.3034482758620465,0.7271811545415225,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,270,16.882758620689685,0.7167105056246272,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,280,25.2275862068964,0.7074512695173812,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,290,17.834482758620553,0.697264710332416,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,300,33.475862068965476,0.6889454691276152,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,310,-0.055172413793083575,0.6814067232604628,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,320,-0.05517241379308824,0.6729400493571275,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,330,50.468965517241784,0.6652436536472635,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,340,13.337931034482644,0.657306463749877,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,350,18.63448275862055,0.6501139258653886,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,360,9.08965517241369,0.6433217527862412,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,370,9.889655172413821,0.6346931260969424,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,380,-0.30344827586206646,0.6274341593324599,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,390,36.372413793103306,0.6202582131590649,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,400,26.579310344827412,0.6128577559036434,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,410,35.020689655173,0.6037312278677203,0.1,0.9995,1.05,2000,16,4,10,10,60
alex2,420,10.53793103448278,0.5950381289229948,0.1,0.9995,1.05,2000,16,4,10,10,60
