test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD
alex9_frame_window,0,3.00070671378091,1.0,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,0,3.00070671378091,1.0,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,0,14.378021978021957,1.0,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,10,2.5694915254237385,0.9369146928798039,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,20,3.245033112582811,0.8647077305675338,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,30,3.983900928792576,0.810157377815473,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,40,-0.15774647887323723,0.7477194593032545,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,50,-0.02033898305084092,0.6900935609921609,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,60,17.762318840579674,0.6498078359349755,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,70,-0.30344827586206025,0.6057704364907278,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,80,16.53793103448268,0.5590843898207511,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,90,6.68571428571431,0.5290920728090721,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,100,2.6739726027397426,0.500708706245853,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,110,30.88571428571423,0.46677573701590436,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,120,7.494339622641448,0.43080185560799106,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,130,4.345679012345682,0.40565285250151817,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,140,18.519402985074585,0.37816180712868996,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,150,46.85190839694682,0.34901730169741024,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,160,71.10638297872376,0.322118930542046,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,170,31.026523297490947,0.29729358661854943,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,180,11.387341772151883,0.2757603055760701,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,190,3.2695652173912624,0.2583638820072446,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,200,8.518518518518485,0.24206491716205145,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,210,25.76149068322976,0.22229219984074702,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,220,1.9541401273885404,0.20931540516921554,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,230,46.549128919860706,0.19415447453059972,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,240,29.854889589905312,0.17829525136613786,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,250,16.537931034482696,0.1678868750508869,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,260,18.978073089700935,0.15967890763313974,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,270,39.44525547445254,0.15111286553822956,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,280,40.37047970479711,0.14087196468590776,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,290,42.96986301369882,0.13066846301911936,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,300,36.84444444444436,0.12120401149972035,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,310,32.066666666666876,0.11299003011401039,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,320,27.665573770491736,0.1042820154910064,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,330,16.290784982935083,0.09576389217857617,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,340,80.03809523809562,0.08576489601717459,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,350,25.83465045592697,0.08075818212241151,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,360,75.0777777777783,0.0745342397963533,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,370,143.6592592592586,0.06708733218678724,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,380,66.76712328767164,0.060687903789832374,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,390,42.88333333333356,0.05380914294022049,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,400,2.333774834437101,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,410,69.48605341246306,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,420,35.16546762589924,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,430,29.913677811550087,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
