test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD,memory_usage,time_elapsed
final_train,0,-0.26405228758169125,1.0,0.05,0.995,0.95,5000,32,4,10,15,50,667.67 MB,0.7
final_train,0,-0.26405228758169125,1.0,0.05,0.995,0.95,5000,32,4,10,15,50,667.67 MB,0.7
final_train,10,18.088030888030794,0.9275689688183278,0.05,0.995,0.95,5000,32,4,10,15,50,1055.61 MB,36.5
final_train,20,23.998705501618044,0.8647077305675338,0.05,0.995,0.95,5000,32,4,10,15,50,1341.16 MB,68.7
final_train,30,13.854755043227684,0.8183201210226743,0.05,0.995,0.95,5000,32,4,10,15,50,1563.66 MB,95.5
final_train,40,15.891497975708447,0.7666961448653229,0.05,0.995,0.95,5000,32,4,10,15,50,1832.22 MB,126.6
final_train,50,35.61904761904754,0.7147372386831305,0.05,0.995,0.95,5000,32,4,10,15,50,2114.78 MB,165.4
final_train,60,29.134693877550983,0.6629680834613705,0.05,0.995,0.95,5000,32,4,10,15,50,2409.07 MB,218.7
final_train,70,45.641106719367436,0.6057704364907278,0.05,0.995,0.95,5000,32,4,10,15,50,2768.20 MB,280.3
final_train,80,29.572670807453346,0.5618938591163328,0.05,0.995,0.95,5000,32,4,10,15,50,3076.98 MB,336.5
final_train,90,27.522491349480866,0.5238143793828016,0.05,0.995,0.95,5000,32,4,10,15,50,3373.30 MB,390.5
final_train,100,17.57985611510784,0.4932355662165453,0.05,0.995,0.95,5000,32,4,10,15,50,3640.63 MB,422.7
final_train,110,24.428469750889633,0.46677573701590436,0.05,0.995,0.95,5000,32,4,10,15,50,3861.95 MB,472.5
final_train,120,39.90311418685116,0.43732904629000013,0.05,0.995,0.95,5000,32,4,10,15,50,4136.43 MB,508.9
final_train,130,35.35384615384606,0.41386834584198684,0.05,0.995,0.95,5000,32,4,10,15,50,4378.95 MB,541.6
final_train,140,38.28913857677904,0.3877593341372176,0.05,0.995,0.95,5000,32,4,10,15,50,4655.90 MB,577.9
final_train,150,51.64383561643844,0.3596735257153405,0.05,0.995,0.95,5000,32,4,10,15,50,4981.19 MB,619.7
